open_time,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base,taker_buy_quote,ignore
1705896000000,41197.04000000,41221.99000000,40768.00000000,40786.41000000,2024.89969000,1705899599999,83023401.73232180,68068,881.74732000,36152921.12657220,0
1705899600000,40786.41000000,41157.23000000,40684.00000000,41138.46000000,2043.09323000,1705903199999,83621559.94777720,94874,1119.03173000,45798411.11337570,0
1705903200000,41138.47000000,41321.17000000,41009.16000000,41205.99000000,1603.68724000,1705906799999,66027624.76333700,91110,837.64291000,34486731.54769860,0
1705906800000,41205.99000000,41214.00000000,40978.63000000,41043.70000000,1048.82053000,1705910399999,43106079.48397010,43528,486.64947000,20000679.95260540,0
1705910400000,41043.70000000,41043.71000000,40761.87000000,40959.00000000,1986.47106000,1705913999999,81242969.20163070,72690,880.63434000,36013719.68474090,0
1705914000000,40958.99000000,41047.51000000,40610.00000000,40744.85000000,1725.51154000,1705917599999,70498757.59823170,69055,897.71013000,36680435.40187450,0
1705917600000,40744.86000000,40852.10000000,40364.63000000,40703.91000000,3247.98208000,1705921199999,131890249.22969780,169389,1597.52079000,64884190.94788960,0
1705921200000,40703.90000000,40941.09000000,40670.98000000,40815.99000000,1820.31952000,1705924799999,74307980.03934810,93816,983.86059000,40161375.89467510,0
1705924800000,40815.92000000,40922.14000000,40685.96000000,40884.97000000,1281.48051000,1705928399999,52296820.06220190,51227,666.96927000,27215588.17666320,0
1705928400000,40884.97000000,41244.06000000,40865.60000000,40943.17000000,2170.12828000,1705931999999,89103864.37369030,126237,1119.63037000,45966033.27051510,0
1705932000000,40943.17000000,40978.69000000,40515.90000000,40694.75000000,2673.37652000,1705935599999,108771269.76169880,136300,1252.59342000,50958371.63079630,0
1705935600000,40694.76000000,40850.00000000,40350.00000000,40771.99000000,3208.29236000,1705939199999,130170694.72645390,144464,1571.40378000,63763785.15122090,0
1705939200000,40772.00000000,40874.99000000,40400.00000000,40518.60000000,2429.98915000,1705942799999,98593021.38132690,99315,1284.76927000,52125712.97151610,0
1705942800000,40518.61000000,40806.42000000,40457.95000000,40708.00000000,1602.30202000,1705946399999,65150352.90393890,75522,875.20021000,35589178.63566610,0
1705946400000,40707.99000000,40800.01000000,40119.11000000,40316.01000000,3457.46147000,1705949999999,139680391.02419220,114452,1431.14684000,57850946.92082970,0
1705950000000,40316.00000000,40570.83000000,39431.58000000,39820.31000000,7927.00782000,1705953599999,316265910.24461770,217163,3430.49623000,136911694.79857610,0
1705953600000,39820.31000000,40343.18000000,39751.14000000,40181.20000000,3814.77652000,1705957199999,153097240.11375160,104900,1992.52744000,79970428.84850260,0
1705957200000,40181.20000000,40206.34000000,39845.70000000,39849.95000000,2123.78160000,1705960799999,85002203.70167940,55227,1076.11019000,43068306.92279580,0
1705960800000,39849.95000000,40088.88000000,39480.00000000,39832.80000000,2201.86927000,1705964399999,87711476.94592020,61945,1090.97293000,43474646.72583390,0
1705964400000,39832.81000000,39961.10000000,39488.12000000,39568.02000000,1840.27144000,1705967999999,72997389.09063350,49814,839.97862000,33324792.66246700,0
1705968000000,39568.02000000,39888.00000000,39511.10000000,39872.00000000,1591.36214000,1705971599999,63208092.08005780,47221,900.02228000,35749020.72574320,0
1705971600000,39872.00000000,39912.18000000,39713.20000000,39830.71000000,883.18985000,1705975199999,35164422.19091900,31488,427.05371000,17005419.61715040,0
1705975200000,39830.70000000,40067.99000000,39810.00000000,40060.46000000,1017.58919000,1705978799999,40672692.42074470,34017,568.72932000,22733293.61803530,0
1705978800000,40060.47000000,40118.87000000,39979.52000000,40000.44000000,954.67378000,1705982399999,38228540.58984200,29815,513.65940000,20572731.07645830,0
1705982400000,40000.43000000,40176.74000000,40000.43000000,40065.51000000,819.53223000,1705985999999,32878432.10047930,31246,468.93237000,18813576.28180300,0
1705986000000,40065.50000000,40129.16000000,40062.30000000,40069.34000000,528.46380000,1705989599999,21187163.67138490,22257,296.20516000,11875420.21982680,0
1705989600000,40069.35000000,40129.12000000,39960.87000000,40019.42000000,810.99682000,1705993199999,32468954.11509290,32917,348.12500000,13938323.35604130,0
1705993200000,40019.43000000,40026.37000000,39665.02000000,39780.00000000,1693.37353000,1705996799999,67437747.75433110,54516,821.84569000,32727365.83313620,0
1705996800000,39780.01000000,39860.00000000,39328.00000000,39464.96000000,2986.78985000,1706000399999,118260665.66548550,86674,1429.70398000,56647725.60697920,0
1706000400000,39464.97000000,39492.57000000,38907.67000000,38961.39000000,6604.67363000,1706003999999,258411838.42530980,179694,3147.29023000,123169229.86392010,0
1706004000000,38961.39000000,39150.00000000,38855.12000000,38917.28000000,3342.72993000,1706007599999,130396363.64690430,100302,1834.31822000,71586498.64635320,0
1706007600000,38917.27000000,39045.56000000,38657.00000000,38845.56000000,3393.58407000,1706011199999,131753004.83916250,137116,1509.29482000,58622834.36691950,0
